workload,workload_name,arangodb,cognodb,falkordb,memgraph,neo4j
point_lookup,Point Lookup,290.46860496746376,244.5481849485077,119.54349000006914,191.7830402031541,98.73233011458068
hop_1,1-Hop Traversal,282.3967499076389,231.02771987905723,131.43911997321993,173.23895499575883,115.5370498774573
hop_2,2-Hop Traversal,305.00663018319756,270.54189004702494,129.11210507154465,207.25614497205243,119.90941496333106
hop_3,3-Hop Traversal,2362.4013549415395,937.4296949477865,165.5943849356845,516.9108099420554,502.11929001379747
indexed_lookup,Indexed Lookup,292.56827495992184,312.6613100990653,145.61974498210475,243.94834996201098,124.85973507864401
